location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested,new_hospitalized_patients,cumulative_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,new_recovered_age_0,new_recovered_age_1,new_recovered_age_2,new_recovered_age_3,new_recovered_age_4,new_recovered_age_5,new_recovered_age_6,new_recovered_age_7,new_recovered_age_8,new_recovered_age_9,cumulative_recovered_age_0,cumulative_recovered_age_1,cumulative_recovered_age_2,cumulative_recovered_age_3,cumulative_recovered_age_4,cumulative_recovered_age_5,cumulative_recovered_age_6,cumulative_recovered_age_7,cumulative_recovered_age_8,cumulative_recovered_age_9,new_tested_age_0,new_tested_age_1,new_tested_age_2,new_tested_age_3,new_tested_age_4,new_tested_age_5,new_tested_age_6,new_tested_age_7,new_tested_age_8,new_tested_age_9,cumulative_tested_age_0,cumulative_tested_age_1,cumulative_tested_age_2,cumulative_tested_age_3,cumulative_tested_age_4,cumulative_tested_age_5,cumulative_tested_age_6,cumulative_tested_age_7,cumulative_tested_age_8,cumulative_tested_age_9,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,new_hospitalized_patients_age_9,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_9,new_intensive_care_patients_age_0,new_intensive_care_patients_age_1,new_intensive_care_patients_age_2,new_intensive_care_patients_age_3,new_intensive_care_patients_age_4,new_intensive_care_patients_age_5,new_intensive_care_patients_age_6,new_intensive_care_patients_age_7,new_intensive_care_patients_age_8,new_intensive_care_patients_age_9,cumulative_intensive_care_patients_age_0,cumulative_intensive_care_patients_age_1,cumulative_intensive_care_patients_age_2,cumulative_intensive_care_patients_age_3,cumulative_intensive_care_patients_age_4,cumulative_intensive_care_patients_age_5,cumulative_intensive_care_patients_age_6,cumulative_intensive_care_patients_age_7,cumulative_intensive_care_patients_age_8,cumulative_intensive_care_patients_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,new_confirmed_male,new_confirmed_female,cumulative_confirmed_male,cumulative_confirmed_female,new_deceased_male,new_deceased_female,cumulative_deceased_male,cumulative_deceased_female,new_recovered_male,new_recovered_female,cumulative_recovered_male,cumulative_recovered_female,new_tested_male,new_tested_female,cumulative_tested_male,cumulative_tested_female,new_hospitalized_patients_male,new_hospitalized_patients_female,cumulative_hospitalized_patients_male,cumulative_hospitalized_patients_female,new_intensive_care_patients_male,new_intensive_care_patients_female,cumulative_intensive_care_patients_male,cumulative_intensive_care_patients_female,population,population_male,population_female,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,public_information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
BR_RJ,2020-01-01,ChIJw4riypQYmAAR0IMFwRrDSQM,Q41428,iso/BR-RJ,BR,Brazil,RJ,Rio de Janeiro,BR,BRA,1,10,,0,40,10,,0,40,,,,,,,,,,,0,1,3,1,3,1,1,0,0,0,0,1,3,1,3,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,7,5,6,7,3,1,0,0,2,9,7,5,6,7,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-,7,3,7,3,,,,,0,0,0,0,22,18,22,18,,,,,,,,,15989929,7625679,8364250,0.79,2080606,2575309,2667137,2513196,2244818,1828255,1130086,633681,316840,57963,-22.362222,-42.720556,1109,43696,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,28.022222,22.522222,33.4,0.0,20.133333,62.899812
BR_RJ,2020-01-02,ChIJw4riypQYmAAR0IMFwRrDSQM,Q41428,iso/BR-RJ,BR,Brazil,RJ,Rio de Janeiro,BR,BRA,1,46,,0,118,56,,0,158,,,,,,,,,,,1,0,7,5,19,4,6,3,1,0,1,1,10,6,22,5,7,3,1,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,13,21,41,16,11,5,1,1,3,8,22,28,46,22,18,8,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-,26,20,33,23,,,,,0,0,0,0,59,59,81,77,,,,,,,,,15989929,7625679,8364250,0.79,2080606,2575309,2667137,2513196,2244818,1828255,1130086,633681,316840,57963,-22.362222,-42.720556,1109,43696,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.511111,22.244444,31.522222,0.0,20.922222,71.741245
BR_RJ,2020-01-03,ChIJw4riypQYmAAR0IMFwRrDSQM,Q41428,iso/BR-RJ,BR,Brazil,RJ,Rio de Janeiro,BR,BRA,1,19,,0,53,75,,0,211,,,,,,,,,,,0,0,3,3,4,0,7,1,1,0,1,1,13,9,26,5,14,4,2,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,8,9,12,5,13,1,1,0,6,9,30,37,58,27,31,9,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-,9,10,42,33,,,,,0,0,0,0,28,25,109,102,,,,,,,,,15989929,7625679,8364250,0.79,2080606,2575309,2667137,2513196,2244818,1828255,1130086,633681,316840,57963,-22.362222,-42.720556,1109,43696,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.155556,21.655556,28.0,2.54,21.244444,83.940747
BR_RJ,2020-01-04,ChIJw4riypQYmAAR0IMFwRrDSQM,Q41428,iso/BR-RJ,BR,Brazil,RJ,Rio de Janeiro,BR,BRA,1,129,,0,346,204,,0,557,,,,,,,,,,,3,6,23,31,26,20,14,4,2,0,4,7,36,40,52,25,28,8,4,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,20,67,74,63,54,32,19,7,2,14,29,97,111,121,81,63,28,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-,51,78,93,111,,,,,0,0,0,0,144,202,253,304,,,,,,,,,15989929,7625679,8364250,0.79,2080606,2575309,2667137,2513196,2244818,1828255,1130086,633681,316840,57963,-22.362222,-42.720556,1109,43696,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.722222,22.077778,27.977778,4.5085,21.144444,80.602449
BR_RJ,2020-01-05,ChIJw4riypQYmAAR0IMFwRrDSQM,Q41428,iso/BR-RJ,BR,Brazil,RJ,Rio de Janeiro,BR,BRA,1,74,,0,258,278,,0,815,,,,,,,,,,,4,2,14,13,17,13,7,2,1,1,8,9,50,53,69,38,35,10,5,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,61,43,48,41,29,12,2,2,27,36,158,154,169,122,92,40,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-,37,37,130,148,,,,,0,0,0,0,113,145,366,449,,,,,,,,,15989929,7625679,8364250,0.79,2080606,2575309,2667137,2513196,2244818,1828255,1130086,633681,316840,57963,-22.362222,-42.720556,1109,43696,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.9,22.2,28.455556,0.338667,21.566667,81.801001
BR_RJ,2020-01-06,ChIJw4riypQYmAAR0IMFwRrDSQM,Q41428,iso/BR-RJ,BR,Brazil,RJ,Rio de Janeiro,BR,BRA,1,66,,0,191,344,,0,1006,,,,,,,,,,,1,6,9,10,8,10,11,5,4,2,9,15,59,63,77,48,46,15,9,3,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,41,47,22,27,25,9,6,2,32,43,199,201,191,149,117,49,18,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-,26,40,156,188,,,,,0,0,0,0,77,114,443,563,,,,,,,,,15989929,7625679,8364250,0.79,2080606,2575309,2667137,2513196,2244818,1828255,1130086,633681,316840,57963,-22.362222,-42.720556,1109,43696,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.233333,21.422222,32.277778,0.508,21.955556,77.440395
BR_RJ,2020-01-07,ChIJw4riypQYmAAR0IMFwRrDSQM,Q41428,iso/BR-RJ,BR,Brazil,RJ,Rio de Janeiro,BR,BRA,1,36,,0,116,380,,0,1122,,,,,,,,,,,0,2,5,11,3,8,3,3,0,1,9,17,64,74,80,56,49,18,9,4,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,20,27,23,17,10,7,0,1,35,51,219,228,214,166,127,56,18,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-,16,20,172,208,,,,,0,0,0,0,50,66,493,629,,,,,,,,,15989929,7625679,8364250,0.79,2080606,2575309,2667137,2513196,2244818,1828255,1130086,633681,316840,57963,-22.362222,-42.720556,1109,43696,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27.977778,22.277778,33.322222,0.0,21.7,69.068506
BR_RJ,2020-01-08,ChIJw4riypQYmAAR0IMFwRrDSQM,Q41428,iso/BR-RJ,BR,Brazil,RJ,Rio de Janeiro,BR,BRA,1,36,,0,89,416,,0,1211,,,,,,,,,,,0,1,4,8,8,5,8,2,0,0,9,18,68,82,88,61,57,20,9,4,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,15,17,15,16,13,3,0,0,39,57,234,245,229,182,140,59,18,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-,17,19,189,227,,,,,0,0,0,0,41,48,534,677,,,,,,,,,15989929,7625679,8364250,0.79,2080606,2575309,2667137,2513196,2244818,1828255,1130086,633681,316840,57963,-22.362222,-42.720556,1109,43696,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.611111,23.8,32.133333,0.0,22.4,77.77772
BR_RJ,2020-01-09,ChIJw4riypQYmAAR0IMFwRrDSQM,Q41428,iso/BR-RJ,BR,Brazil,RJ,Rio de Janeiro,BR,BRA,1,11,,0,33,427,,0,1244,,,,,,,,,,,0,1,6,0,0,1,3,0,0,0,9,19,74,82,88,62,60,20,9,4,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,6,3,4,8,0,1,0,39,59,243,251,232,186,148,59,19,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-,5,6,194,233,,,,,0,0,0,0,10,23,544,700,,,,,,,,,15989929,7625679,8364250,0.79,2080606,2575309,2667137,2513196,2244818,1828255,1130086,633681,316840,57963,-22.362222,-42.720556,1109,43696,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27.1,22.577778,31.722222,0.4064,22.355556,75.43942
BR_RJ,2020-01-10,ChIJw4riypQYmAAR0IMFwRrDSQM,Q41428,iso/BR-RJ,BR,Brazil,RJ,Rio de Janeiro,BR,BRA,1,6,,0,22,433,,0,1266,,,,,,,,,,,0,1,1,0,1,2,0,1,0,0,9,20,75,82,89,64,60,21,9,4,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,5,2,4,1,2,0,0,40,61,248,256,234,190,149,61,19,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-,2,4,196,237,,,,,0,0,0,0,8,14,552,714,,,,,,,,,15989929,7625679,8364250,0.79,2080606,2575309,2667137,2513196,2244818,1828255,1130086,633681,316840,57963,-22.362222,-42.720556,1109,43696,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27.944444,23.422222,32.011111,0.0,22.744444,74.016334
BR_RJ,2020-01-11,ChIJw4riypQYmAAR0IMFwRrDSQM,Q41428,iso/BR-RJ,BR,Brazil,RJ,Rio de Janeiro,BR,BRA,1,14,,0,56,447,,0,1322,,,,,,,,,,,1,2,0,2,3,2,4,0,0,0,10,22,75,84,92,66,64,21,9,4,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,5,11,8,8,9,1,1,1,48,65,253,267,242,198,158,62,20,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-,4,10,200,247,,,,,0,0,0,0,19,37,571,751,,,,,,,,,15989929,7625679,8364250,0.79,2080606,2575309,2667137,2513196,2244818,1828255,1130086,633681,316840,57963,-22.362222,-42.720556,1109,43696,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,28.522222,23.955556,34.277778,0.0,22.588889,70.554289
BR_RJ,2020-01-12,ChIJw4riypQYmAAR0IMFwRrDSQM,Q41428,iso/BR-RJ,BR,Brazil,RJ,Rio de Janeiro,BR,BRA,1,97,,0,131,544,,0,1453,,,,,,,,,,,4,5,11,24,21,16,12,3,1,0,14,27,86,108,113,82,76,24,10,4,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,16,28,26,24,19,6,1,0,53,71,269,295,268,222,177,68,21,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-,47,50,247,297,,,,,0,0,0,0,62,69,633,820,,,,,,,,,15989929,7625679,8364250,0.79,2080606,2575309,2667137,2513196,2244818,1828255,1130086,633681,316840,57963,-22.362222,-42.720556,1109,43696,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,28.088889,24.644444,32.222222,0.0,22.844444,73.406987
BR_RJ,2020-01-13,ChIJw4riypQYmAAR0IMFwRrDSQM,Q41428,iso/BR-RJ,BR,Brazil,RJ,Rio de Janeiro,BR,BRA,1,19,,0,37,563,,0,1490,,,,,,,,,,,1,0,4,5,5,2,1,1,0,0,15,27,90,113,118,84,77,25,10,4,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,8,11,5,5,2,0,0,55,71,273,303,279,227,182,70,21,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-,5,14,252,311,,,,,0,0,0,0,15,22,648,842,,,,,,,,,15989929,7625679,8364250,0.79,2080606,2575309,2667137,2513196,2244818,1828255,1130086,633681,316840,57963,-22.362222,-42.720556,1109,43696,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.644444,23.122222,27.4,8.001,22.4,87.453727
BR_RJ,2020-01-14,ChIJw4riypQYmAAR0IMFwRrDSQM,Q41428,iso/BR-RJ,BR,Brazil,RJ,Rio de Janeiro,BR,BRA,1,7,,0,22,570,,0,1512,,,,,,,,,,,0,0,0,2,3,2,0,0,0,0,15,27,90,115,121,86,77,25,10,4,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,7,6,0,1,0,0,55,73,274,308,286,233,182,71,21,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-,2,5,254,316,,,,,0,0,0,0,7,15,655,857,,,,,,,,,15989929,7625679,8364250,0.79,2080606,2575309,2667137,2513196,2244818,1828255,1130086,633681,316840,57963,-22.362222,-42.720556,1109,43696,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.577778,22.022222,27.3,0.0,19.322222,73.035671
BR_RJ,2020-01-15,ChIJw4riypQYmAAR0IMFwRrDSQM,Q41428,iso/BR-RJ,BR,Brazil,RJ,Rio de Janeiro,BR,BRA,1,10,,0,42,580,,0,1554,,,,,,,,,,,0,1,0,2,1,3,1,1,1,0,15,28,90,117,122,89,78,26,11,4,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,6,12,6,3,2,1,0,57,77,280,314,298,239,185,73,22,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-,4,6,258,322,,,,,0,0,0,0,22,20,677,877,,,,,,,,,15989929,7625679,8364250,0.79,2080606,2575309,2667137,2513196,2244818,1828255,1130086,633681,316840,57963,-22.362222,-42.720556,1109,43696,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.777778,21.488889,29.577778,0.0,19.122222,67.183419
BR_RJ,2020-01-16,ChIJw4riypQYmAAR0IMFwRrDSQM,Q41428,iso/BR-RJ,BR,Brazil,RJ,Rio de Janeiro,BR,BRA,1,9,,0,14,589,,0,1568,,,,,,,,,,,1,0,1,2,2,1,1,0,1,0,16,28,91,119,124,90,79,26,12,4,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,5,2,1,2,0,1,0,59,77,281,319,300,240,187,73,23,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-,2,7,260,329,,,,,0,0,0,0,6,8,683,885,,,,,,,,,15989929,7625679,8364250,0.79,2080606,2575309,2667137,2513196,2244818,1828255,1130086,633681,316840,57963,-22.362222,-42.720556,1109,43696,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,28.344444,23.1,34.066667,0.0,21.511111,66.899585
BR_RJ,2020-01-17,ChIJw4riypQYmAAR0IMFwRrDSQM,Q41428,iso/BR-RJ,BR,Brazil,RJ,Rio de Janeiro,BR,BRA,1,7,,0,9,596,,0,1577,,,,,,,,,,,1,0,1,3,0,1,1,0,0,0,17,28,92,122,124,91,80,26,12,4,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,1,1,1,0,0,60,77,282,323,300,241,188,74,23,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-,2,5,262,334,,,,,0,0,0,0,3,6,686,891,,,,,,,,,15989929,7625679,8364250,0.79,2080606,2575309,2667137,2513196,2244818,1828255,1130086,633681,316840,57963,-22.362222,-42.720556,1109,43696,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.722222,21.744444,29.977778,3.048,21.622222,82.975613
BR_RJ,2020-01-18,ChIJw4riypQYmAAR0IMFwRrDSQM,Q41428,iso/BR-RJ,BR,Brazil,RJ,Rio de Janeiro,BR,BRA,1,10,,0,26,606,,0,1603,,,,,,,,,,,2,0,2,0,1,0,4,1,0,0,19,28,94,122,125,91,84,27,12,4,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,4,3,0,7,2,0,0,64,79,286,327,303,241,195,76,23,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-,2,8,264,342,,,,,0,0,0,0,7,19,693,910,,,,,,,,,15989929,7625679,8364250,0.79,2080606,2575309,2667137,2513196,2244818,1828255,1130086,633681,316840,57963,-22.362222,-42.720556,1109,43696,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,22.288889,19.844444,24.555556,4.953,18.666667,80.161467
BR_RJ,2020-01-19,ChIJw4riypQYmAAR0IMFwRrDSQM,Q41428,iso/BR-RJ,BR,Brazil,RJ,Rio de Janeiro,BR,BRA,1,8,,0,22,614,,0,1625,,,,,,,,,,,0,0,1,2,0,1,2,1,1,0,19,28,95,124,125,92,86,28,13,4,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,4,4,4,1,1,0,66,79,288,331,307,245,199,77,24,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-,4,4,268,346,,,,,0,0,0,0,12,10,705,920,,,,,,,,,15989929,7625679,8364250,0.79,2080606,2575309,2667137,2513196,2244818,1828255,1130086,633681,316840,57963,-22.362222,-42.720556,1109,43696,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23.711111,20.544444,26.455556,0.0,18.577778,73.280044
BR_RJ,2020-01-20,ChIJw4riypQYmAAR0IMFwRrDSQM,Q41428,iso/BR-RJ,BR,Brazil,RJ,Rio de Janeiro,BR,BRA,1,6,,0,43,620,,0,1668,,,,,,,,,,,0,0,2,1,0,1,1,0,0,1,19,28,97,125,125,93,87,28,13,5,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,6,8,6,4,2,1,1,69,79,300,337,315,251,203,79,25,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-,5,1,273,347,,,,,0,0,0,0,17,26,722,946,,,,,,,,,15989929,7625679,8364250,0.79,2080606,2575309,2667137,2513196,2244818,1828255,1130086,633681,316840,57963,-22.362222,-42.720556,1109,43696,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23.644444,20.977778,25.922222,0.0,18.522222,73.438586
BR_RJ,2020-01-21,ChIJw4riypQYmAAR0IMFwRrDSQM,Q41428,iso/BR-RJ,BR,Brazil,RJ,Rio de Janeiro,BR,BRA,1,4,,0,27,624,,0,1695,,,,,,,,,,,0,0,1,2,1,0,0,0,0,0,19,28,98,127,126,93,87,28,13,5,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,8,5,5,2,3,0,1,0,71,80,308,342,320,253,206,79,26,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-,3,1,276,348,,,,,0,0,0,0,13,14,735,960,,,,,,,,,15989929,7625679,8364250,0.79,2080606,2575309,2667137,2513196,2244818,1828255,1130086,633681,316840,57963,-22.362222,-42.720556,1109,43696,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23.455556,19.922222,26.744444,0.0,18.866667,75.681489
BR_RJ,2020-01-22,ChIJw4riypQYmAAR0IMFwRrDSQM,Q41428,iso/BR-RJ,BR,Brazil,RJ,Rio de Janeiro,BR,BRA,1,12,,0,52,636,,0,1747,,,,,,,,,,,0,0,3,2,2,2,3,0,0,0,19,28,101,129,128,95,90,28,13,5,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,10,11,8,7,0,1,0,75,83,316,352,331,261,213,79,27,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-,4,8,280,356,,,,,0,0,0,0,27,25,762,985,,,,,,,,,15989929,7625679,8364250,0.79,2080606,2575309,2667137,2513196,2244818,1828255,1130086,633681,316840,57963,-22.362222,-42.720556,1109,43696,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23.877778,18.877778,27.744444,0.0,19.222222,75.28312
